owner,name,url,stars,pr_count
d2l-ai,d2l-zh,https://github.com/d2l-ai/d2l-zh,72775,1382
punkpeye,awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,71821,1249
CompVis,stable-diffusion,https://github.com/CompVis/stable-diffusion,71550,158
thedaviddias,Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,71448,311
redis,redis,https://github.com/redis/redis,71074,7201
Shubhamsaboo,awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,71050,231
ventoy,Ventoy,https://github.com/ventoy/Ventoy,70996,534
abi,screenshot-to-code,https://github.com/abi/screenshot-to-code,70950,124
moby,moby,https://github.com/moby/moby,70843,27164
browser-use,browser-use,https://github.com/browser-use/browser-use,70756,1813
pallets,flask,https://github.com/pallets/flask,70488,2705
swisskyrepo,PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,70357,700
grafana,grafana,https://github.com/grafana/grafana,70175,67512
enaqx,awesome-react,https://github.com/enaqx/awesome-react,70143,1347
tesseract-ocr,tesseract,https://github.com/tesseract-ocr/tesseract,70029,1669
josephmisiti,awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,69994,956
Developer-Y,cs-video-courses,https://github.com/Developer-Y/cs-video-courses,69954,289
strapi,strapi,https://github.com/strapi/strapi,69792,11866
hakimel,reveal.js,https://github.com/hakimel/reveal.js,69646,1118
modelcontextprotocol,servers,https://github.com/modelcontextprotocol/servers,69396,2104
binary-husky,gpt_academic,https://github.com/binary-husky/gpt_academic,69283,352
protocolbuffers,protobuf,https://github.com/protocolbuffers/protobuf,69237,16849
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,69153,1241
python,cpython,https://github.com/python/cpython,69117,64823
swiftlang,swift,https://github.com/swiftlang/swift,69102,63931
astral-sh,uv,https://github.com/astral-sh/uv,68911,8389
ocornut,imgui,https://github.com/ocornut/imgui,68541,1596
base,node,https://github.com/base/node,68538,298
awesomedata,awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,68535,351
apache,superset,https://github.com/apache/superset,68344,19580
localsend,localsend,https://github.com/localsend/localsend,68294,787
openai,openai-cookbook,https://github.com/openai/openai-cookbook,68206,1340
Stirling-Tools,Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,68133,2928
expressjs,express,https://github.com/expressjs/express,67790,2164
PKUFlyingPig,cs-self-learning,https://github.com/PKUFlyingPig/cs-self-learning,67753,375
twitter,the-algorithm,https://github.com/twitter/the-algorithm,67367,546
obsproject,obs-studio,https://github.com/obsproject/obs-studio,67220,7488
caddyserver,caddy,https://github.com/caddyserver/caddy,67057,2667
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,66781,1078
ansible,ansible,https://github.com/ansible/ansible,66636,52500
chartjs,Chart.js,https://github.com/chartjs/Chart.js,66608,3879
