name,owner,url,stars,forks,watchers,created_at,updated_at,description,repo_age_days,merged_pull_requests,total_releases,days_since_last_update,primary_language,closed_issues_ratio,total_issues,closed_issues
ComfyUI,comfyanonymous,https://github.com/comfyanonymous/ComfyUI,86183,9558,579,2023-01-17T03:15:56Z,2025-08-21T22:26:58Z,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",947,1196,73,0,Python,0.5932449903038138,6188,3671
NextChat,ChatGPTNextWeb,https://github.com/ChatGPTNextWeb/NextChat,85557,61071,453,2023-03-10T18:27:54Z,2025-08-21T22:53:12Z,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows,895,889,77,0,TypeScript,0.8139272624753313,3547,2887
v2rayN,2dust,https://github.com/2dust/v2rayN,85320,13159,810,2019-07-30T03:47:24Z,2025-08-21T21:38:56Z,"A GUI client for Windows, Linux and macOS, support Xray and sing-box and others",2214,273,264,0,C#,0.9990033222591362,6020,6014
llama.cpp,ggml-org,https://github.com/ggml-org/llama.cpp,85280,12774,599,2023-03-10T18:58:00Z,2025-08-21T21:09:37Z,LLM inference in C/C++,895,5514,1000,0,C++,0.9402592852137351,5708,5367
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,85130,37652,4043,2010-12-19T15:16:43Z,2025-08-21T22:38:25Z,Bitcoin Core integration/staging tree,5359,15512,56,0,C++,0.9528964643556375,8683,8274
app-ideas,florinpop17,https://github.com/florinpop17/app-ideas,84952,9811,1857,2019-02-25T18:36:56Z,2025-08-21T22:00:01Z,A Collection of application ideas which can be used to improve your coding skills.,2369,149,0,0,Unknown,0.25882352941176473,170,44
django,django,https://github.com/django/django,84645,32837,2286,2012-04-28T02:47:18Z,2025-08-21T22:42:29Z,The Web framework for perfectionists with deadlines.,4863,9859,0,0,Python,0,0,0
svelte,sveltejs,https://github.com/sveltejs/svelte,83816,4594,850,2016-11-20T18:13:05Z,2025-08-21T22:24:15Z,web development for the rest of us,3196,5988,510,0,JavaScript,0.9039661056843592,8497,7681
gin,gin-gonic,https://github.com/gin-gonic/gin,83674,8300,1361,2014-06-16T23:57:25Z,2025-08-21T21:07:10Z,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.",4083,1114,27,0,Go,0.7155025553662692,2348,1680
opencv,opencv,https://github.com/opencv/opencv,83632,56255,2637,2012-07-19T09:40:17Z,2025-08-21T22:09:43Z,Open Source Computer Vision Library,4781,13085,66,0,C++,0.7682926829268293,11234,8631
